duration_time,team_1_result,team_1_kills,team_1_deaths,team_1_assits,team_2_result,team_2_kills,team_2_deaths,team_2_assits
1686,1,35,20,55,0,20,35,36
1331,1,26,10,29,0,10,26,7
1656,0,22,39,40,1,39,22,42
1010,1,19,10,16,0,10,19,7
935,1,16,4,21,0,4,16,3
1675,0,25,31,33,1,31,25,39
1931,1,26,20,48,0,20,26,32
1558,0,18,31,29,1,31,18,44
1332,1,26,14,33,0,14,26,19
1413,0,19,33,30,1,33,19,64
1507,0,10,28,21,1,28,10,61
1770,1,35,18,74,0,18,35,31
1468,1,32,13,57,0,13,32,16
1514,0,8,25,15,1,25,9,58
1393,0,13,30,18,1,29,13,38
1681,0,18,29,38,1,29,18,42
1490,0,13,30,15,1,30,13,53
1085,0,9,20,20,1,20,9,33
2261,0,28,24,51,1,24,28,38
1915,1,27,18,57,0,18,27,28
1673,1,19,11,31,0,11,19,13
1395,1,20,10,25,0,10,20,9
1440,0,15,38,18,1,38,15,57
1308,1,33,9,50,0,9,33,6
1696,0,7,23,12,1,23,7,55
1493,0,26,32,38,1,32,26,31
992,1,17,8,21,0,8,18,3
1883,0,18,29,20,1,29,18,55
1581,1,28,23,22,0,23,28,36
1390,0,15,26,15,1,26,15,31
1328,0,14,28,16,1,28,14,55
1710,1,32,12,31,0,12,32,19
1875,1,30,16,33,0,16,31,27
1591,1,27,10,48,0,10,27,11
1950,1,35,34,57,0,34,35,49
2121,0,20,29,19,1,28,20,48
1420,0,7,25,13,1,25,7,19
1295,0,17,21,26,1,21,17,27
1691,0,9,23,7,1,23,9,29
1034,1,17,9,17,0,9,17,11
1673,0,26,34,50,1,34,26,59
2184,1,37,29,69,0,29,37,38
1384,1,29,27,44,0,27,29,36
1657,1,31,22,37,0,22,31,38
1298,0,5,19,9,1,18,5,21
1716,0,23,35,32,1,35,23,48
1445,1,43,18,48,0,18,43,28
1160,0,19,34,34,1,34,19,55
1620,1,32,14,54,0,14,32,15
1487,0,18,27,26,1,27,19,38
1587,0,23,44,42,1,44,23,60
2032,1,35,29,70,0,29,35,48
1856,0,22,38,36,1,38,22,48
949,0,9,12,14,1,12,10,18
1927,1,27,25,40,0,25,27,39
1586,1,29,20,40,0,20,30,19
1746,0,34,28,66,1,27,34,50
1612,0,22,35,29,1,34,22,53
1266,0,8,19,9,1,19,8,16
1354,1,34,13,62,0,13,34,17
1077,0,13,26,14,1,26,13,28
1719,1,36,23,51,0,23,37,41
1240,0,13,28,15,1,28,13,34
1308,1,25,12,23,0,12,25,13
1597,0,12,29,13,1,29,12,49
2215,1,41,29,76,0,29,41,37
968,0,12,20,20,1,20,12,31
1314,1,12,9,14,0,9,12,12
1085,1,23,10,24,0,9,23,9
1336,1,21,6,28,0,5,21,9
1582,0,22,35,30,1,35,22,51
1870,0,30,31,47,1,30,30,50
2070,0,29,47,35,1,47,29,56
923,0,9,27,12,1,27,9,32
1746,1,26,11,43,0,11,26,24
1710,1,27,12,50,0,12,27,19
2059,0,28,35,67,1,35,29,79
1564,0,16,32,22,1,32,16,64
1485,0,21,27,26,1,27,21,43
2338,1,48,38,81,0,38,48,66
797,1,11,0,20,0,0,11,0
1898,1,27,33,50,0,33,27,56
2207,0,32,39,46,1,39,32,75
1293,1,24,14,33,0,14,24,21
977,0,8,20,7,1,20,8,25
1377,1,22,8,28,0,8,22,18
2088,1,37,22,94,0,22,37,44
2040,0,11,23,18,1,23,11,36
1884,1,29,16,36,0,16,29,13
1317,1,29,10,36,0,10,29,6
1858,1,39,35,63,0,35,39,44
1385,1,33,16,38,0,16,33,32
1428,1,26,11,35,0,11,26,6
1560,1,35,14,63,0,14,35,16
1897,0,23,33,20,1,33,23,58
1765,1,31,14,53,0,14,31,20
1263,1,20,15,28,0,15,20,22
2155,0,29,46,49,1,46,29,81
1526,0,10,20,19,1,20,10,29
2036,1,39,43,60,0,43,39,39
1748,0,21,31,24,1,31,22,40
1180,1,31,10,48,0,9,31,18
927,1,20,4,21,0,4,20,4
2023,1,26,14,56,0,14,26,33
2349,0,34,29,44,1,29,34,44
1290,0,11,18,16,1,18,11,23
1597,1,25,19,41,0,19,25,32
1901,0,31,23,39,1,23,31,30
2370,0,34,39,65,1,39,34,83
1553,0,23,39,28,1,39,23,49
1617,0,10,27,15,1,27,10,30
1613,1,32,24,60,0,24,32,48
1165,1,23,6,26,0,6,23,6
922,1,15,5,24,0,5,15,3
1502,0,15,25,33,1,25,15,47
937,1,27,4,25,0,4,27,5
1292,1,21,11,30,0,11,21,15
1484,1,21,20,25,0,20,21,38
1577,1,35,27,53,0,27,35,38
1682,0,25,24,43,1,24,25,49
1466,0,14,25,12,1,25,14,37
2300,1,50,35,62,0,35,50,45
1503,0,22,32,33,1,32,22,43
1956,1,43,23,69,0,23,43,37
2403,0,37,28,73,1,28,37,44
1656,0,18,26,26,1,26,18,44
1343,1,28,10,40,0,10,28,12
1897,0,24,40,33,1,40,25,58
1577,1,35,15,65,0,15,35,29
1354,0,18,31,34,1,31,18,47
1806,0,23,33,29,1,33,23,56
1395,0,12,28,15,1,28,12,33
1369,0,10,37,13,1,37,11,59
969,1,22,6,17,0,6,22,7
2106,0,30,29,42,1,29,30,36
1784,1,35,33,48,0,33,35,49
1244,0,6,21,14,1,21,6,35
1197,1,29,17,36,0,17,30,14
1455,1,29,12,48,0,12,29,11
614,0,0,9,0,1,9,0,11
1591,0,25,30,43,1,30,26,64
2006,0,34,40,64,1,40,34,68
1467,0,20,31,28,1,31,20,45
1269,1,32,15,36,0,15,32,24
